THRESHOLD NUMBER OF HITS =376
********             SOLID SEQUENCES                  ********
Sequence LI X =67 Y =66 HITS =1205
Sequence IO X =100 Y =1 HITS =1031
Sequence OV X =43 Y =1 HITS =745
Sequence VV X =83 Y =98 HITS =664
Sequence RV X =28 Y =98 HITS =1098
Sequence KC X =80 Y =65 HITS =461
Sequence CL X =39 Y =33 HITS =857
Sequence IU X =17 Y =1 HITS =439
Sequence OB X =25 Y =75 HITS =496
Sequence BK X =85 Y =16 HITS =483
Sequence CN X =66 Y =6 HITS =1220
Sequence NN X =91 Y =95 HITS =1209
Sequence NK X =58 Y =76 HITS =1109
Sequence KW X =9 Y =1 HITS =561
Sequence DI X =71 Y =35 HITS =423
Sequence AN X =54 Y =28 HITS =806
Sequence QZ X =1 Y =100 HITS =1166
Sequence ZZ X =83 Y =90 HITS =610
Sequence ZS X =13 Y =76 HITS =741
Sequence FN X =87 Y =24 HITS =582
Sequence ND X =45 Y =70 HITS =679
Sequence DL X =92 Y =32 HITS =659
Sequence LE X =71 Y =59 HITS =780
Sequence ER X =16 Y =8 HITS =845
Sequence VW X =66 Y =100 HITS =500
Sequence WW X =76 Y =100 HITS =476
Sequence NC X =33 Y =59 HITS =1104
Sequence LL X =99 Y =89 HITS =997
Sequence DE X =100 Y =81 HITS =386
Sequence IL X =99 Y =44 HITS =566
Sequence PK X =17 Y =21 HITS =484
Sequence KN X =100 Y =35 HITS =797
Sequence KR X =36 Y =7 HITS =385
Sequence ZQ X =25 Y =86 HITS =503
Sequence HO X =83 Y =1 HITS =877
Sequence OW X =49 Y =1 HITS =513
Sequence GA X =89 Y =54 HITS =488
Sequence AL X =67 Y =15 HITS =428
Sequence LA X =41 Y =60 HITS =505
Sequence JU X =1 Y =1 HITS =2232
Sequence FC X =97 Y =54 HITS =380
Sequence MB X =34 Y =51 HITS =388
Sequence SZ X =1 Y =82 HITS =434
Sequence BN X =74 Y =1 HITS =592
Sequence NH X =51 Y =78 HITS =510
Sequence EO X =83 Y =1 HITS =877
Sequence HR X =16 Y =8 HITS =845
Sequence AF X =79 Y =26 HITS =473
Sequence IQ X =37 Y =19 HITS =377
Sequence NJ X =78 Y =74 HITS =450
Sequence JG X =51 Y =44 HITS =410
Sequence ZT X =13 Y =76 HITS =741


********             LONG SEQUENCES                  ********
Sequence NC -> CN (NCN)  [COUNT 252]
Sequence LI -> IO (LIO)  [COUNT 155]
Sequence CL -> LI (CLI)  [COUNT 130]
Sequence NC -> CL (NCL)  [COUNT 230]
Sequence NC -> CL -> LI (NCLI)  [COUNT 205]
Sequence LL -> LI (LLI)  [COUNT 98]
Sequence AN -> NC (ANC)  [COUNT 14]
Sequence LL -> LE (LLE)  [COUNT 110]
Sequence KN -> NN (KNN)  [COUNT 207]
Sequence CN -> NN (CNN)  [COUNT 237]
Sequence NC -> CN -> NN (NCNN)  [COUNT 161]
Sequence LE -> ER (LER)  [COUNT 82]
Sequence LE -> ER -> RV (LERV)  [COUNT 59]
Sequence KN -> NN -> NK (KNNK)  [COUNT 108]
Sequence AN -> NK (ANK)  [COUNT 247]
Sequence CN -> NN -> NK (CNNK)  [COUNT 63]
Sequence NC -> CN -> NN -> NK (NCNNK)  [COUNT 154]
Sequence ER -> RV (ERV)  [COUNT 44]
Sequence NN -> ND (NND)  [COUNT 9]
Sequence CN -> NN -> ND (CNND)  [COUNT 63]
Sequence LI -> IO -> OV (LIOV)  [COUNT 97]
Sequence HO -> OV (HOV)  [COUNT 150]
Sequence IL -> LL (ILL)  [COUNT 191]
Sequence IL -> LL -> LI (ILLI)  [COUNT 114]
Sequence DL -> LL (DLL)  [COUNT 18]
Sequence NN -> ND -> DL (NNDL)  [COUNT 5]
Sequence DL -> LE (DLE)  [COUNT 90]
Sequence DL -> LE -> ER (DLER)  [COUNT 90]
Sequence DL -> LE -> ER -> RV (DLERV)  [COUNT 72]
Sequence ND -> DL (NDL)  [COUNT 40]
Sequence ND -> DL -> LE (NDLE)  [COUNT 28]
Sequence ND -> DL -> LE -> ER (NDLER)  [COUNT 28]
Sequence ND -> DL -> LE -> ER -> RV (NDLERV)  [COUNT 28]
Sequence AN -> NK -> KW (ANKW)  [COUNT 68]
Sequence CN -> NN -> ND -> DL (CNNDL)  [COUNT 34]
Sequence CN -> NN -> NK -> KW (CNNKW)  [COUNT 41]
Sequence KN -> NN -> NK -> KW (KNNKW)  [COUNT 34]
Sequence HO -> OW (HOW)  [COUNT 90]
Sequence HO -> OV -> VV (HOVV)  [COUNT 60]
Sequence DL -> LE -> ER -> RV -> VV (DLERVV)  [COUNT 29]
Sequence LI -> IO -> OV -> VV (LIOVV)  [COUNT 72]
Sequence ND -> DL -> LE -> ER -> RV -> VV (NDLERVV)  [COUNT 3]
Sequence RV -> VV (RVV)  [COUNT 53]
Sequence ER -> RV -> VV (ERVV)  [COUNT 14]
Sequence QZ -> ZZ (QZZ)  [COUNT 67]
Sequence QZ -> ZZ -> ZS (QZZS)  [COUNT 54]
