THRESHOLD NUMBER OF HITS =350
********             SOLID SEQUENCES                  ********
Sequence LI X =98 Y =25 HITS =715
Sequence IO X =35 Y =30 HITS =383
Sequence OV X =1 Y =68 HITS =513
Sequence VV X =4 Y =1 HITS =597
Sequence UQ X =27 Y =9 HITS =357
Sequence QF X =39 Y =77 HITS =557
Sequence FR X =22 Y =72 HITS =461
Sequence RV X =1 Y =17 HITS =1145
Sequence VI X =30 Y =100 HITS =470
Sequence IA X =77 Y =26 HITS =643
Sequence VK X =37 Y =100 HITS =424
Sequence KC X =90 Y =23 HITS =557
Sequence CN X =33 Y =51 HITS =729
Sequence NN X =99 Y =1 HITS =1534
Sequence NK X =40 Y =1 HITS =1096
Sequence AN X =44 Y =61 HITS =681
Sequence KW X =9 Y =90 HITS =445
Sequence RD X =74 Y =100 HITS =437
Sequence DI X =62 Y =57 HITS =422
Sequence AL X =41 Y =53 HITS =479
Sequence LL X =87 Y =1 HITS =757
Sequence ZS X =14 Y =49 HITS =616
Sequence BN X =40 Y =44 HITS =605
Sequence ND X =100 Y =54 HITS =403
Sequence DL X =53 Y =16 HITS =646
Sequence LM X =79 Y =1 HITS =726
Sequence MD X =89 Y =31 HITS =544
Sequence KN X =35 Y =10 HITS =461
Sequence JG X =77 Y =76 HITS =438
Sequence GA X =81 Y =34 HITS =719
Sequence NC X =97 Y =77 HITS =505
Sequence ZQ X =22 Y =32 HITS =639
Sequence WD X =81 Y =100 HITS =376
Sequence HR X =18 Y =100 HITS =675
Sequence JZ X =13 Y =58 HITS =451
Sequence WC X =81 Y =100 HITS =376
Sequence CG X =70 Y =16 HITS =576
Sequence GL X =79 Y =67 HITS =683
Sequence LE X =82 Y =42 HITS =504
Sequence NH X =99 Y =44 HITS =608
Sequence HO X =31 Y =40 HITS =460
Sequence AF X =52 Y =43 HITS =608
Sequence FC X =69 Y =25 HITS =703
Sequence ER X =18 Y =100 HITS =675
Sequence LA X =96 Y =69 HITS =509
Sequence FN X =44 Y =16 HITS =569
Sequence MB X =79 Y =84 HITS =661
Sequence BH X =61 Y =35 HITS =638
Sequence ZZ X =9 Y =1 HITS =724
Sequence NM X =33 Y =1 HITS =514
Sequence UL X =53 Y =91 HITS =411
Sequence EO X =31 Y =41 HITS =372
Sequence IV X =1 Y =100 HITS =2476
Sequence IL X =52 Y =2 HITS =466
Sequence UU X =9 Y =1 HITS =724
********             LONG SEQUENCES                  ********
Sequence NN -> NK (NNK)  [COUNT 179]
Sequence GL -> LM (GLM)  [COUNT 20]
Sequence MB -> BH (MBH)  [COUNT 158]
Sequence DL -> LM (DLM)  [COUNT 15]
Sequence AF -> FC (AFC)  [COUNT 152]
Sequence BN -> NN (BNN)  [COUNT 63]
Sequence MB -> BN (MBN)  [COUNT 3]
Sequence ZZ -> ZQ (ZZQ)  [COUNT 83]
Sequence ER -> RV (ERV)  [COUNT 81]
Sequence GL -> LL (GLL)  [COUNT 4]
Sequence LL -> LM (LLM)  [COUNT 20]
Sequence AF -> FN (AFN)  [COUNT 38]
Sequence AF -> FN -> NN (AFNN)  [COUNT 9]
Sequence LL -> LI (LLI)  [COUNT 93]
Sequence ZZ -> ZS (ZZS)  [COUNT 153]
Sequence CG -> GL (CGL)  [COUNT 50]
Sequence CG -> GL -> LL (CGLL)  [COUNT 25]
Sequence CG -> GA (CGA)  [COUNT 71]
Sequence CG -> GL -> LM (CGLM)  [COUNT 25]
Sequence LI -> IV (LIV)  [COUNT 19]
Sequence NM -> MB (NMB)  [COUNT 5]
Sequence NM -> MB -> BH (NMBH)  [COUNT 4]
Sequence NM -> MB -> BN (NMBN)  [COUNT 1]
Sequence BN -> NM (BNM)  [COUNT 18]
Sequence BN -> NM -> MB (BNMB)  [COUNT 18]
Sequence BN -> NM -> MB -> BH (BNMBH)  [COUNT 18]
Sequence AN -> NK (ANK)  [COUNT 64]
Sequence AF -> FN -> NM (AFNM)  [COUNT 25]
Sequence AF -> FC -> CN (AFCN)  [COUNT 104]
Sequence AF -> FN -> NM -> MB (AFNMB)  [COUNT 7]
Sequence AF -> FN -> NM -> MB -> BH (AFNMBH)  [COUNT 7]
Sequence CN -> NN (CNN)  [COUNT 48]
Sequence CN -> NN -> NK (CNNK)  [COUNT 31]
Sequence KC -> CN (KCN)  [COUNT 31]
Sequence KC -> CN -> NN (KCNN)  [COUNT 31]
Sequence KC -> CN -> NN -> NK (KCNNK)  [COUNT 31]
Sequence FC -> CN (FCN)  [COUNT 104]
Sequence FC -> CN -> NM (FCNM)  [COUNT 70]
Sequence FC -> CN -> NM -> MB (FCNMB)  [COUNT 70]
Sequence FC -> CN -> NM -> MB -> BH (FCNMBH)  [COUNT 70]
Sequence CG -> GA -> AN (CGAN)  [COUNT 39]
Sequence GA -> AN (GAN)  [COUNT 8]
Sequence CN -> NM (CNM)  [COUNT 7]
Sequence CN -> NM -> MB (CNMB)  [COUNT 7]
